,word,root,part_of_speech
130,actively,activity,adverb
131,addition,add,noun
132,additional,add,adjective
133,add,add,verb
134,additionally,add,adverb
135,addition,addition,noun
136,additional,addition,adjective
137,add,addition,verb
138,additionally,addition,adverb
139,addition,additional,noun
140,additional,additional,adjective
141,add,additional,verb
142,additionally,additional,adverb
143,addition,additionally,noun
144,additional,additionally,adjective
145,add,additionally,verb
146,additionally,additionally,adverb
147,admiration,admiration,noun
148,admirer,admiration,noun
149,admirable,admiration,adjective
150,admire,admiration,verb
151,admirably,admiration,adverb
152,admiration,admire,noun
153,admirer,admire,noun
154,admirable,admire,adjective
155,admire,admire,verb
156,admirably,admire,adverb
157,advantage,advantage,noun
158,disadvantage,advantage,noun
159,advantageous,advantage,adjective
160,disadvantaged,advantage,adjective
161,advertisement,advertise,noun
162,advertiser,advertise,noun
163,advertising,advertise,noun
164,advertise,advertise,verb
165,advertisement,advertisement,noun
166,advertiser,advertisement,noun
167,advertising,advertisement,noun
168,advertise,advertisement,verb
169,advertisement,advertising,noun
170,advertiser,advertising,noun
171,advertising,advertising,noun
172,advertise,advertising,verb
173,advice,advice,noun
174,adviser,advice,noun
175,advisable,advice,adjective
176,inadvisable,advice,adjective
177,advisory,advice,adjective
178,advise,advice,verb
179,advice,advise,noun
180,adviser,advise,noun
181,advisable,advise,adjective
182,inadvisable,advise,adjective
183,advisory,advise,adjective
184,advise,advise,verb
185,advice,adviser,noun
186,adviser,adviser,noun
187,advisable,adviser,adjective
188,inadvisable,adviser,adjective
189,advisory,adviser,adjective
190,advise,adviser,verb
191,agreement,agree,noun
192,disagreement,agree,noun
193,agreeable,agree,adjective
194,agree,agree,verb
195,disagree,agree,verb
196,agreeably,agree,adverb
197,agreement,agreement,noun
198,disagreement,agreement,noun
199,agreeable,agreement,adjective
200,agree,agreement,verb
201,disagree,agreement,verb
202,agreeably,agreement,adverb
203,aim,aim,noun
204,aimless,aim,adjective
205,aim,aim,verb
206,aimlessly,aim,adverb
207,loud,aloud,adjective
208,aloud,aloud,adverb
209,loud/loudly,aloud,adverb
210,amazement,amazed,noun
211,amazed,amazed,adjective
212,amazing,amazed,adjective
213,amaze,amazed,verb
214,amazingly,amazed,adverb
215,amazement,amazement,noun
216,amazed,amazement,adjective
217,amazing,amazement,adjective
218,amaze,amazement,verb
219,amazingly,amazement,adverb
220,amazement,amazing,noun
221,amazed,amazing,adjective
222,amazing,amazing,adjective
223,amaze,amazing,verb
224,amazingly,amazing,adverb
225,amazement,amazingly,noun
226,amazed,amazingly,adjective
227,amazing,amazingly,adjective
228,amaze,amazingly,verb
229,amazingly,amazingly,adverb
230,anger,anger,noun
231,angry,anger,adjective
232,anger,anger,verb
233,angrily,anger,adverb
234,anger,angrily,noun
235,angry,angrily,adjective
236,anger,angrily,verb
237,angrily,angrily,adverb
238,anger,angry,noun
239,angry,angry,adjective
240,anger,angry,verb
241,angrily,angry,adverb
242,announcement,announce,noun
243,announcer,announce,noun
244,unannounced,announce,adjective
245,announce,announce,verb
246,unannounced,announce,adverb
247,announcement,announcement,noun
248,announcer,announcement,noun
249,unannounced,announcement,adjective
250,announce,announcement,verb
251,unannounced,announcement,adverb
252,society,anti-social,noun
253,sociologist,anti-social,noun
254,sociology,anti-social,noun
255,sociable,anti-social,adjective
256,unsociable,anti-social,adjective
257,social,anti-social,adjective
258,anti-social,anti-social,adjective
259,unsocial,anti-social,adjective
260,socialize,anti-social,verb
261,socially,anti-social,adverb
262,appearance,appear,noun
263,disappearance,appear,noun
264,reappearance,appear,noun
265,appear,appear,verb
266,disappear,appear,verb
267,reappear,appear,verb
268,appearance,appearance,noun
269,disappearance,appearance,noun
270,reappearance,appearance,noun
271,appear,appearance,verb
272,disappear,appearance,verb
273,reappear,appearance,verb
274,applicant,application,noun
275,application,application,noun
276,applicable,application,adjective
277,applied,application,adjective
278,apply,application,verb
279,applicant,apply,noun
280,application,apply,noun
281,applicable,apply,adjective
282,applied,apply,adjective
283,apply,apply,verb
284,appreciation,appreciate,noun
285,appreciable,appreciate,adjective
286,appreciative,appreciate,adjective
287,appreciate,appreciate,verb
288,appreciatively,appreciate,adverb
289,appreciation,appreciation,noun
290,appreciable,appreciation,adjective
291,appreciative,appreciation,adjective
292,appreciate,appreciation,verb
293,appreciatively,appreciation,adverb
294,approval,approval,noun
295,disapproval,approval,noun
296,approve,approval,verb
297,disapprove,approval,verb
298,approvingly,approval,adverb
299,approval,approve,noun
300,disapproval,approve,noun
301,approve,approve,verb
302,disapprove,approve,verb
303,approvingly,approve,adverb
304,approximation,approximate,noun
305,approximate,approximate,adjective
306,approximate,approximate,verb
307,approximately,approximate,adverb
308,approximation,approximately,noun
309,approximate,approximately,adjective
310,approximate,approximately,verb
311,approximately,approximately,adverb
312,argument,argue,noun
313,arguable,argue,adjective
314,argumentative,argue,adjective
315,argue,argue,verb
316,arguably,argue,adverb
317,argument,argument,noun
318,arguable,argument,adjective
319,argumentative,argument,adjective
320,argue,argument,verb
321,arguably,argument,adverb
322,arrangement,arrange,noun
323,arrange,arrange,verb
324,rearrange,arrange,verb
325,arrangement,arrangement,noun
326,arrange,arrangement,verb
327,rearrange,arrangement,verb
328,art,art,noun
329,artist,art,noun
330,artistry,art,noun
331,artistic,art,adjective
332,artistically,art,adverb
333,art,artist,noun
334,artist,artist,noun
335,artistry,artist,noun
336,artistic,artist,adjective
337,artistically,artist,adverb
338,art,artistic,noun
339,artist,artistic,noun
340,artistry,artistic,noun
341,artistic,artistic,adjective
342,artistically,artistic,adverb
343,shame,ashamed,noun
344,ashamed,ashamed,adjective
345,shameful,ashamed,adjective
346,shameless,ashamed,adjective
347,unashamed,ashamed,adjective
348,shame,ashamed,verb
349,shamefully,ashamed,adverb
350,shamelessly,ashamed,adverb
351,sleep,asleep,noun
352,sleeper,asleep,noun
353,sleepiness,asleep,noun
354,sleeplessness,asleep,noun
355,asleep,asleep,adjective
356,sleepless,asleep,adjective
357,sleepy,asleep,adjective
358,sleep,asleep,verb
359,sleepily,asleep,adverb
360,attachment,attach,noun
361,attached,attach,adjective
362,unattached,attach,adjective
363,detachable,attach,adjective
364,detached,attach,adjective
365,attach,attach,verb
366,detach,attach,verb
367,attachment,attachment,noun
368,attached,attachment,adjective
369,unattached,attachment,adjective
370,detachable,attachment,adjective
371,detached,attachment,adjective
372,attach,attachment,verb
373,detach,attachment,verb
374,attack,attack,noun
375,attacker,attack,noun
376,counter-attack,attack,noun
377,attack,attack,verb
378,counter-attack,attack,verb
379,attention,attention,noun
380,attentive,attention,adjective
381,inattentive,attention,adjective
382,attentively,attention,adverb
383,attraction,attract,noun
384,attractiveness,attract,noun
385,attractive,attract,adjective
386,unattractive,attract,adjective
387,attract,attract,verb
388,attractively,attract,adverb
389,attraction,attraction,noun
390,attractiveness,attraction,noun
391,attractive,attraction,adjective
392,unattractive,attraction,adjective
393,attract,attraction,verb
394,attractively,attraction,adverb
395,attraction,attractive,noun
396,attractiveness,attractive,noun
397,attractive,attractive,adjective
398,unattractive,attractive,adjective
399,attract,attractive,verb
400,attractively,attractive,adverb
401,authority,authority,noun
402,authorization,authority,noun
403,authoritarian,authority,adjective
404,authoritative,authority,adjective
405,unauthorized,authority,adjective
406,authorize,authority,verb
407,authority,authorize,noun
408,authorization,authorize,noun
409,authoritarian,authorize,adjective
410,authoritative,authorize,adjective
411,unauthorized,authorize,adjective
412,authorize,authorize,verb
413,availability,availability,noun
414,available,availability,adjective
415,unavailable,availability,adjective
416,availability,available,noun
417,available,available,adjective
418,unavailable,available,adjective
419,avoidance,avoid,noun
420,unavoidable,avoid,adjective
421,avoidable,avoid,adjective
422,avoid,avoid,verb
423,awareness,aware,noun
424,aware,aware,adjective
425,unaware,aware,adjective
426,unawares,aware,adverb
427,awareness,awareness,noun
428,aware,awareness,adjective
429,unaware,awareness,adjective
430,unawares,awareness,adverb
431,base,base,noun
432,basis,base,noun
433,the basics,base,noun
434,baseless,base,adjective
435,basic,base,adjective
436,base,base,verb
437,basically,base,adverb
438,base,basic,noun
439,basis,basic,noun
440,the basics,basic,noun
441,baseless,basic,adjective
442,basic,basic,adjective
443,base,basic,verb
444,basically,basic,adverb
445,base,basically,noun
446,basis,basically,noun
447,the basics,basically,noun
448,baseless,basically,adjective
449,basic,basically,adjective
450,base,basically,verb
451,basically,basically,adverb
452,base,basis,noun
453,basis,basis,noun
454,the basics,basis,noun
455,baseless,basis,adjective
456,basic,basis,adjective
457,base,basis,verb
458,basically,basis,adverb
459,bearer,bear,noun
460,bearable,bear,adjective
461,unbearable,bear,adjective
462,bear,bear,verb
463,beat,beat,noun
464,beating,beat,noun
465,unbeatable,beat,adjective
466,unbeaten,beat,adjective
467,beat,beat,verb
468,beauty,beautiful,noun
469,beautician,beautiful,noun
470,beautiful,beautiful,adjective
471,beautifully,beautiful,adverb
472,beauty,beautifully,noun
473,beautician,beautifully,noun
474,beautiful,beautifully,adjective
475,beautifully,beautifully,adverb
476,beauty,beauty,noun
477,beautician,beauty,noun
478,beautiful,beauty,adjective
479,beautifully,beauty,adverb
480,beginner,begin,noun
481,beginning,begin,noun
482,begin,begin,verb
483,beginner,beginner,noun
484,beginning,beginner,noun
485,begin,beginner,verb
486,beginner,beginning,noun
487,beginning,beginning,noun
488,begin,beginning,verb
489,behaviour,behave,noun
490,misbehaviour,behave,noun
491,behavioural,behave,adjective
492,behave,behave,verb
493,misbehave,behave,verb
494,behaviour,behaviour,noun
495,misbehaviour,behaviour,noun
496,behavioural,behaviour,adjective
497,behave,behaviour,verb
498,misbehave,behaviour,verb
499,belief,belief,noun
500,disbelief,belief,noun
501,believable,belief,adjective
502,unbelievable,belief,adjective
503,believe,belief,verb
504,disbelieve,belief,verb
505,unbelievably,belief,adverb
506,belief,believe,noun
507,disbelief,believe,noun
508,believable,believe,adjective
509,unbelievable,believe,adjective
510,believe,believe,verb
511,disbelieve,believe,verb
512,unbelievably,believe,adverb
513,blood,bleed,noun
514,bloodless,bleed,adjective
515,bloody,bleed,adjective
516,bleed,bleed,verb
517,block,block,noun
518,blockage,block,noun
519,block,block,verb
520,unblock,block,verb
521,blood,blood,noun
522,bloodless,blood,adjective
523,bloody,blood,adjective
524,bleed,blood,verb
525,blood,bloody,noun
526,bloodless,bloody,adjective
527,bloody,bloody,adjective
528,bleed,bloody,verb
529,boiler,boil,noun
530,the boil,boil,noun
531,boil,boil,verb
532,bore,bored,noun
533,boredom,bored,noun
534,bored,bored,adjective
535,boring,bored,adjective
536,bore,bored,verb
537,bore,boring,noun
538,boredom,boring,noun
539,bored,boring,adjective
540,boring,boring,adjective
541,bore,boring,verb
542,break,break,noun
543,outbreak,break,noun
544,breakage,break,noun
545,broken,break,adjective
546,unbreakable,break,adjective
547,unbroken,break,adjective
548,break,break,verb
549,breath,breath,noun
550,breather,breath,noun
551,breathing,breath,noun
552,breathless,breath,adjective
553,breathe,breath,verb
554,breath,breathe,noun
555,breather,breathe,noun
556,breathing,breathe,noun
557,breathless,breathe,adjective
558,breathe,breathe,verb
559,break,broken,noun
560,outbreak,broken,noun
561,breakage,broken,noun
562,broken,broken,adjective
563,unbreakable,broken,adjective
564,unbroken,broken,adjective
565,break,broken,verb
566,brother,brother,noun
567,brotherly,brother,adjective
568,build,build,noun
569,builder,build,noun
570,building,build,noun
571,build,build,verb
572,rebuild,build,verb
573,build,builder,noun
574,builder,builder,noun
575,building,builder,noun
576,build,builder,verb
577,rebuild,builder,verb
578,build,building,noun
579,builder,building,noun
580,building,building,noun
581,build,building,verb
582,rebuild,building,verb
583,burial,burial,noun
584,bury,burial,verb
585,burn,burn,noun
586,burner,burn,noun
587,burning,burn,adjective
588,burnt,burn,adjective
589,burn,burn,verb
590,burn,burning,noun
591,burner,burning,noun
592,burning,burning,adjective
593,burnt,burning,adjective
594,burn,burning,verb
595,burial,bury,noun
596,bury,bury,verb
597,calculation,calculate,noun
598,calculator,calculate,noun
599,calculated,calculate,adjective
600,calculating,calculate,adjective
601,incalculable,calculate,adjective
602,calculate,calculate,verb
603,calculation,calculation,noun
604,calculator,calculation,noun
605,calculated,calculation,adjective
606,calculating,calculation,adjective
607,incalculable,calculation,adjective
608,calculate,calculation,verb
609,calculation,calculator,noun
610,calculator,calculator,noun
611,calculated,calculator,adjective
612,calculating,calculator,adjective
613,incalculable,calculator,adjective
614,calculate,calculator,verb
615,calmness,calm,noun
616,calm,calm,adjective
617,calm,calm,verb
618,calmly,calm,adverb
619,calmness,calmly,noun
620,calm,calmly,adjective
621,calm,calmly,verb
622,calmly,calmly,adverb
623,capability,capability,noun
624,capable,capability,adjective
625,incapable,capability,adjective
626,capability,capable,noun
627,capable,capable,adjective
628,incapable,capable,adjective
629,care,care,noun
630,carer,care,noun
631,careful,care,adjective
632,careless,care,adjective
633,caring,care,adjective
634,uncaring,care,adjective
635,care,care,verb
636,carefully,care,adverb
637,carelessly,care,adverb
638,care,careful,noun
639,carer,careful,noun
640,careful,careful,adjective
641,careless,careful,adjective
642,caring,careful,adjective
643,uncaring,careful,adjective
644,care,careful,verb
645,carefully,careful,adverb
646,carelessly,careful,adverb
647,care,carefully,noun
648,carer,carefully,noun
649,careful,carefully,adjective
650,careless,carefully,adjective
651,caring,carefully,adjective
652,uncaring,carefully,adjective
653,care,carefully,verb
654,carefully,carefully,adverb
655,carelessly,carefully,adverb
656,care,careless,noun
657,carer,careless,noun
658,careful,careless,adjective
659,careless,careless,adjective
660,caring,careless,adjective
661,uncaring,careless,adjective
662,care,careless,verb
663,carefully,careless,adverb
664,carelessly,careless,adverb
665,care,carelessly,noun
666,carer,carelessly,noun
667,careful,carelessly,adjective
668,careless,carelessly,adjective
669,caring,carelessly,adjective
670,uncaring,carelessly,adjective
671,care,carelessly,verb
672,carefully,carelessly,adverb
673,carelessly,carelessly,adverb
674,care,caring,noun
675,carer,caring,noun
676,careful,caring,adjective
677,careless,caring,adjective
678,caring,caring,adjective
679,uncaring,caring,adjective
680,care,caring,verb
681,carefully,caring,adverb
682,carelessly,caring,adverb
683,celebration,celebrate,noun
684,celebrity,celebrate,noun
685,celebrated,celebrate,adjective
686,celebratory,celebrate,adjective
687,celebrate,celebrate,verb
688,celebration,celebration,noun
689,celebrity,celebration,noun
690,celebrated,celebration,adjective
691,celebratory,celebration,adjective
692,celebrate,celebration,verb
693,celebration,celebrity,noun
694,celebrity,celebrity,noun
695,celebrated,celebrity,adjective
696,celebratory,celebrity,adjective
697,celebrate,celebrity,verb
698,decentralization,central,noun
699,centralization,central,noun
700,centre,central,noun
701,central,central,adjective
702,centralized,central,adjective
703,centralize,central,verb
704,decentralize,central,verb
705,centre,central,verb
706,centrally,central,adverb
707,decentralization,centre,noun
708,centralization,centre,noun
709,centre,centre,noun
710,central,centre,adjective
711,centralized,centre,adjective
712,centralize,centre,verb
713,decentralize,centre,verb
714,centre,centre,verb
715,centrally,centre,adverb
716,certainty,certain,noun
717,uncertainty,certain,noun
718,certain,certain,adjective
719,uncertain,certain,adjective
720,certainly,certain,adverb
721,uncertainly,certain,adverb
722,certainty,certainly,noun
723,uncertainty,certainly,noun
724,certain,certainly,adjective
725,uncertain,certainly,adjective
726,certainly,certainly,adverb
727,uncertainly,certainly,adverb
728,certainty,certainty,noun
729,uncertainty,certainty,noun
730,certain,certainty,adjective
731,uncertain,certainty,adjective
732,certainly,certainty,adverb
733,uncertainly,certainty,adverb
734,challenge,challenge,noun
735,challenger,challenge,noun
736,challenging,challenge,adjective
737,challenge,challenge,verb
738,challenge,challenging,noun
739,challenger,challenging,noun
740,challenging,challenging,adjective
741,challenge,challenging,verb
742,change,change,noun
743,changeable,change,adjective
744,interchangeable,change,adjective
745,unchanged,change,adjective
746,changing,change,adjective
747,change,change,verb
748,change,changeable,noun
749,changeable,changeable,adjective
750,interchangeable,changeable,adjective
751,unchanged,changeable,adjective
752,changing,changeable,adjective
753,change,changeable,verb
754,character,character,noun
755,characteristic,character,noun
756,characterization,character,noun
757,characteristic,character,adjective
758,uncharacteristic,character,adjective
759,characterize,character,verb
760,characteristically,character,adverb
761,character,characteristic,noun
762,characteristic,characteristic,noun
763,characterization,characteristic,noun
764,characteristic,characteristic,adjective
765,uncharacteristic,characteristic,adjective
766,characterize,characteristic,verb
767,characteristically,characteristic,adverb
768,chemical,chemical,noun
769,chemist,chemical,noun
770,chemistry,chemical,noun
771,chemical,chemical,adjective
772,chemically,chemical,adverb
773,chemical,chemist,noun
774,chemist,chemist,noun
775,chemistry,chemist,noun
776,chemical,chemist,adjective
777,chemically,chemist,adverb
778,chemical,chemistry,noun
779,chemist,chemistry,noun
780,chemistry,chemistry,noun
781,chemical,chemistry,adjective
782,chemically,chemistry,adverb
783,circle,circle,noun
784,circulation,circle,noun
785,semicircle,circle,noun
786,circular,circle,adjective
787,circle,circle,verb
788,circulate,circle,verb
789,circle,circular,noun
790,circulation,circular,noun
791,semicircle,circular,noun
792,circular,circular,adjective
793,circle,circular,verb
794,circulate,circular,verb
795,circle,circulation,noun
796,circulation,circulation,noun
797,semicircle,circulation,noun
798,circular,circulation,adjective
799,circle,circulation,verb
800,circulate,circulation,verb
801,clearance,clarity,noun
802,clearing,clarity,noun
803,clarity,clarity,noun
804,clear,clarity,adjective
805,unclear,clarity,adjective
806,clear,clarity,verb
807,clear,clarity,adverb
808,clearly,clarity,adverb
809,cleaner,clean,noun
810,cleanliness,clean,noun
811,cleaning,clean,noun
812,clean,clean,adjective
813,unclean,clean,adjective
814,clean,clean,verb
815,cleanly,clean,adverb
816,cleaner,cleaner,noun
817,cleanliness,cleaner,noun
818,cleaning,cleaner,noun
819,clean,cleaner,adjective
820,unclean,cleaner,adjective
821,clean,cleaner,verb
822,cleanly,cleaner,adverb
823,clearance,clear,noun
824,clearing,clear,noun
825,clarity,clear,noun
826,clear,clear,adjective
827,unclear,clear,adjective
828,clear,clear,verb
829,clear,clear,adverb
830,clearly,clear,adverb
831,clearance,clearly,noun
832,clearing,clearly,noun
833,clarity,clearly,noun
834,clear,clearly,adjective
835,unclear,clearly,adjective
836,clear,clearly,verb
837,clear,clearly,adverb
838,clearly,clearly,adverb
839,close,close,noun
840,closure,close,noun
841,closed,close,adjective
842,closing,close,adjective
843,close,close,verb
844,close,closed,noun
845,closure,closed,noun
846,closed,closed,adjective
847,closing,closed,adjective
848,close,closed,verb
849,closeness,closely,noun
850,close,closely,adjective
851,close,closely,adverb
852,closely,closely,adverb
853,closeness,closeness,noun
854,close,closeness,adjective
855,close,closeness,adverb
856,closely,closeness,adverb
857,close,closure,noun
858,closure,closure,noun
859,closed,closure,adjective
860,closing,closure,adjective
861,close,closure,verb
862,clothing,clothing,noun
863,clothe,clothing,verb
864,collection,collect,noun
865,collector,collect,noun
866,collected,collect,adjective
867,collective,collect,adjective
868,collect,collect,verb
869,collectively,collect,adverb
870,collection,collection,noun
871,collector,collection,noun
872,collected,collection,adjective
873,collective,collection,adjective
874,collect,collection,verb
875,collectively,collection,adverb
876,collection,collector,noun
877,collector,collector,noun
878,collected,collector,adjective
879,collective,collector,adjective
880,collect,collector,verb
881,collectively,collector,adverb
882,colour,colour,noun
883,colouring,colour,noun
884,coloured,colour,adjective
885,discoloured,colour,adjective
886,colourful,colour,adjective
887,colourless,colour,adjective
888,colour,colour,verb
889,colour,colourful,noun
890,colouring,colourful,noun
891,coloured,colourful,adjective
892,discoloured,colourful,adjective
893,colourful,colourful,adjective
894,colourless,colourful,adjective
895,colour,colourful,verb
896,combination,combination,noun
897,combine,combination,verb
898,combination,combine,noun
899,combine,combine,verb
900,comfort,comfort,noun
901,discomfort,comfort,noun
902,comfortable,comfort,adjective
903,uncomfortable,comfort,adjective
904,comforting,comfort,adjective
905,comfort,comfort,verb
906,comfortably,comfort,adverb
907,comfort,comfortable,noun
908,discomfort,comfortable,noun
909,comfortable,comfortable,adjective
910,uncomfortable,comfortable,adjective
911,comforting,comfortable,adjective
912,comfort,comfortable,verb
913,comfortably,comfortable,adverb
914,comfort,comfortably,noun
915,discomfort,comfortably,noun
916,comfortable,comfortably,adjective
917,uncomfortable,comfortably,adjective
918,comforting,comfortably,adjective
919,comfort,comfortably,verb
920,comfortably,comfortably,adverb
921,comfort,comforting,noun
922,discomfort,comforting,noun
923,comfortable,comforting,adjective
924,uncomfortable,comforting,adjective
925,comforting,comforting,adjective
926,comfort,comforting,verb
927,comfortably,comforting,adverb
928,commitment,commit,noun
929,noncommittal,commit,adjective
930,committed,commit,adjective
931,commit,commit,verb
932,commitment,commitment,noun
933,noncommittal,commitment,adjective
934,committed,commitment,adjective
935,commit,commitment,verb
936,commitment,committed,noun
937,noncommittal,committed,adjective
938,committed,committed,adjective
939,commit,committed,verb
940,communication,communicate,noun
941,communicator,communicate,noun
942,communicative,communicate,adjective
943,uncommunicative,communicate,adjective
944,communicate,communicate,verb
945,communication,communication,noun
946,communicator,communication,noun
947,communicative,communication,adjective
948,uncommunicative,communication,adjective
949,communicate,communication,verb
950,communication,communicative,noun
951,communicator,communicative,noun
952,communicative,communicative,adjective
953,uncommunicative,communicative,adjective
954,communicate,communicative,verb
955,comparison,comparable,noun
956,comparative,comparable,adjective
957,comparable,comparable,adjective
958,incomparable,comparable,adjective
959,compare,comparable,verb
960,comparatively,comparable,adverb
961,comparison,comparative,noun
962,comparative,comparative,adjective
963,comparable,comparative,adjective
964,incomparable,comparative,adjective
965,compare,comparative,verb
966,comparatively,comparative,adverb
967,comparison,comparatively,noun
968,comparative,comparatively,adjective
969,comparable,comparatively,adjective
970,incomparable,comparatively,adjective
971,compare,comparatively,verb
972,comparatively,comparatively,adverb
973,comparison,compare,noun
974,comparative,compare,adjective
975,comparable,compare,adjective
976,incomparable,compare,adjective
977,compare,compare,verb
978,comparatively,compare,adverb
979,comparison,comparison,noun
980,comparative,comparison,adjective
981,comparable,comparison,adjective
982,incomparable,comparison,adjective
983,compare,comparison,verb
984,comparatively,comparison,adverb
985,competition,compete,noun
986,competitor,compete,noun
987,competitive,compete,adjective
988,uncompetitive,compete,adjective
989,compete,compete,verb
990,competitively,compete,adverb
991,competition,competition,noun
992,competitor,competition,noun
993,competitive,competition,adjective
994,uncompetitive,competition,adjective
995,compete,competition,verb
996,competitively,competition,adverb
997,competition,competitive,noun
998,competitor,competitive,noun
999,competitive,competitive,adjective
1000,uncompetitive,competitive,adjective
1001,compete,competitive,verb
1002,competitively,competitive,adverb
1003,competition,competitor,noun
1004,competitor,competitor,noun
1005,competitive,competitor,adjective
1006,uncompetitive,competitor,adjective
1007,compete,competitor,verb
1008,competitively,competitor,adverb
1009,completion,complete,noun
1010,incompleteness,complete,noun
1011,complete,complete,adjective
1012,incomplete,complete,adjective
1013,complete,complete,verb
1014,completely,complete,adverb
1015,incompletely,complete,adverb
1016,completion,completely,noun
1017,incompleteness,completely,noun
1018,complete,completely,adjective
1019,incomplete,completely,adjective
1020,complete,completely,verb
1021,completely,completely,adverb
1022,incompletely,completely,adverb
1023,completion,completion,noun
1024,incompleteness,completion,noun
1025,complete,completion,adjective
1026,incomplete,completion,adjective
1027,complete,completion,verb
1028,completely,completion,adverb
1029,incompletely,completion,adverb
1030,complication,complicate,noun
1031,complicated,complicate,adjective
1032,uncomplicated,complicate,adjective
1033,complicate,complicate,verb
1034,complication,complicated,noun
1035,complicated,complicated,adjective
1036,uncomplicated,complicated,adjective
1037,complicate,complicated,verb
1038,complication,complication,noun
1039,complicated,complication,adjective
1040,uncomplicated,complication,adjective
1041,complicate,complication,verb
1042,computer,computer,noun
1043,computerization,computer,noun
1044,computing,computer,noun
1045,computerize,computer,verb
1046,concentration,concentrate,noun
1047,concentrated,concentrate,adjective
1048,concentrate,concentrate,verb
1049,concentration,concentration,noun
1050,concentrated,concentration,adjective
1051,concentrate,concentration,verb
1052,concern,concern,noun
1053,concerned,concern,adjective
1054,unconcerned,concern,adjective
1055,concern,concern,verb
1056,concern,concerned,noun
1057,concerned,concerned,adjective
1058,unconcerned,concerned,adjective
1059,concern,concerned,verb
1060,conclusion,conclude,noun
1061,concluding,conclude,adjective
1062,conclusive,conclude,adjective
1063,inconclusive,conclude,adjective
1064,conclude,conclude,verb
1065,conclusively,conclude,adverb
1066,conclusion,conclusion,noun
1067,concluding,conclusion,adjective
1068,conclusive,conclusion,adjective
1069,inconclusive,conclusion,adjective
1070,conclude,conclusion,verb
1071,conclusively,conclusion,adverb
1072,conclusion,conclusive,noun
1073,concluding,conclusive,adjective
1074,conclusive,conclusive,adjective
