,word,part_of_speech,transcription,hint,lvl,label,definition,examples,order_num,root_word
14,ability,noun,/əˈbɪl.ə.ti/,,B1,C or U,the physical or mental skill or qualities that you need to do something,"['She had the ability to explain things clearly.', 'athletic/academic ability']",4,ability
15,be able to do sth,adjective,/ˈeɪ.bl ̩/,,A2,,to have the ability to do something or the possibility of doing something,"[""He'll be able to help you."", 'Will she be able to do the work?', ""I'm sorry that I wasn't able to phone you yesterday."", ""It's so wonderful being able to see the sea from my window.""]",5,able
16,able,adjective,/ˈeɪ.bl ̩/,,C2,,clever or good at doing something,"[""She's a very able student.""]",5,able
17,abnormal,adjective,/æbˈnɔːməl/,,C1,,"different from what is normal or usual, in a way which is strange or dangerous","['abnormal behaviour/weather', 'They found abnormal levels of lead in the water.']",6,abnormal
18,aboard,adverb,/əˈbɔːd/,,C1,,"on or onto a plane, ship, bus, or train",['Welcome aboard flight BA109 to Paris.'],7,aboard
19,abolish,verb,/əˈbɒl.ɪʃ/,,B2,T,"to officially end something, especially a law or system","['I think bullfighting should be abolished.', 'National Service was abolished in Britain in 1962.']",8,abolish
20,abortion,noun,/əˈbɔː.ʃən/,,C1,C or U,a medical operation to end a pregnancy when the baby is still too small to live,['She had an abortion.'],9,abortion
21,about,preposition,/əˈbaʊt/,,A1,,relating to a particular subject or person,"[""What's she talking about?"", ""I've got a book about Jung.""]",10,about
22,How/What about ...? ,preposition,/əˈbaʊt/,SUGGESTION,A2,,used when suggesting or offering something to someone,"['How about a trip to the zoo this afternoon?', '""Coffee, Sarah?"" ""No, thanks."" ""What about you, Kate?""', 'How about cycling there?']",10,about
23,How/What about ...?,preposition,/əˈbaʊt/,,B1,,used to ask for someone's opinion on a particular subject,"['What about Ava - is she nice?', 'So the town was nice - how about the food?']",10,about
24,about,adverb,/əˈbaʊt/,,A1,,a little more or less than the stated number or amount,"['It happened about two months ago.', '""What time are you leaving work today?"" ""About five.""']",10,about
25,about ,adverb,/əˈbaʊt/,DIRECTION,B2,,"to or in different parts of a place, often without purpose or order",['They heard someone moving/walking about outside.'],10,about
26,be (just) about to do sth,adjective,/əˈbaʊt/,,B1,,to be going to do something very soon,['I was about to leave when Mark arrived.'],10,about
27,above ,adverb,/əˈbʌv/,HIGHER POSITION,A1,,in or to a higher position than something else,"[""There's a mirror above the washbasin."", 'Her name comes above mine on the list.']",11,above
28,above ,adverb,/əˈbʌv/,MORE,A2,,more than an amount or level,"[""It says on the box it's for children aged three and above."", 'Rates of pay are above average.']",11,above
29,above all,adverb,/əˈbʌv/,,B1,,most importantly,"[""Above all, I'd like to thank my family."", 'He is known above all for his film roles.']",11,above
30,above ,adverb,/əˈbʌv/,TOO IMPORTANT,C2,,too good or important for something,['No one is above suspicion in this matter.'],11,above
31,above,adverb,/əˈbʌv/,,B1,,higher on the page,"['the above diagram', 'Match these words with the pictures above.', 'Please send the articles to the address given/shown above.']",11,above
32,abroad,adverb,/əˈbrɔːd/,,B1,always after verb,in or to a foreign country,"[""He's currently abroad on business."", 'We always go abroad in the summer.']",12,abroad
33,abrupt ,adjective,/əˈbrʌpt/,SUDDEN,C2,,sudden and not expected,['Our conversation came to an abrupt end.'],13,abrupt
34,abrupt ,adjective,/əˈbrʌpt/,RUDE,C2,,dealing with people in a quick way that is unfriendly or rude,['She has a rather abrupt manner.'],13,abrupt
35,abruptly,adverb,/əˈbrʌp.tli/,,C2,,suddenly and quickly,"['They abruptly left the party.', 'His speech ended abruptly and he left the stage.']",14,abruptly
36,absence ,noun,/ˈæb.sənts/,NOT PRESENT,B2,C or U,when someone is not where they are usually expected to be,"['A new manager was appointed during/in her absence.', 'She has had repeated absences from work this year.']",15,absence
37,absence ,noun,/ˈæb.sənts/,NOT EXISTING,B2,U,when something does not exist,['He drew attention to the absence of concrete evidence against the defendant.'],15,absence
38,absent,adjective,/ˈæb.sənt/,,B1,,"not in the place where you are expected to be, especially at school or work",['John has been absent from school/work for three days now.'],16,absent
39,absolute,adjective,/ˈæb.sə.luːt/,,B2,always before noun,complete and definite,"['absolute control', ""He's an absolute idiot!"", ""That's absolute rubbish!""]",17,absolute
40,absolutely,adverb,/ˈæb.sə.luːt.li/,,B1,,completely,"['The food was absolutely delicious.', ""It's absolutely ridiculous."", ""I have absolutely no idea what she's talking about."", ""We've achieved absolutely nothing today."", 'I absolutely hate it.']",18,absolutely
41,Absolutely!,adverb,/ˈæb.sə.luːt.li/,,C1,,used to strongly agree with someone,"['""Do you think it helped his career?"" ""Absolutely.""', '""It was an excellent film, though."" ""Absolutely!""']",18,absolutely
42,Absolutely not.,adverb,/ˈæb.sə.luːt.li/,,C2,,used to strongly disagree with someone or to agree with something negative,"['""Are you suggesting that we should just ignore the problem?"" ""No, absolutely not.""']",18,absolutely
43,absorb ,verb,/əbˈzɔːb/,TAKE IN,B2,T,"to take something in, especially gradually","['Plants absorb carbon dioxide.', 'The drug is quickly absorbed into the bloodstream.']",19,absorb
44,be absorbed in sth,verb,/əbˈzɔːb/,,B2,T,to give all your attention to something that you are doing,"[""Simon was so absorbed in his computer game that he didn't notice me come in.""]",19,absorb
45,absorb ,verb,/əbˈzɔːb/,REMEMBER,C1,T,to understand and remember facts that you read or hear,"[""It's hard to absorb so much information.""]",19,absorb
46,abstract ,adjective,/ˈæb.strækt/,IDEAS,B2,,relating to ideas and not real things,"['abstract ideas', 'Truth and beauty are abstract concepts.']",20,abstract
47,abstract ,adjective,/ˈæb.strækt/,ART,B2,,Abstract art involves shapes and colours and not images of real things or people,['abstract paintings/sculpture'],20,abstract
48,absurd,adjective,/əbˈzɜːd/,,B2,,very silly,"['What an absurd explanation!', ""Don't be so absurd! Of course I want you to come."", ""It's an absurd situation - neither of them will talk to the other.""]",21,absurd
49,abuse ,noun,/əˈbjuːs/,BAD TREATMENT,B2,C or U,bad or cruel treatment of people or animals,"['sexual/psychological/mental abuse', 'The rescued dogs had been victims of physical abuse.']",22,abuse
50,abuse ,noun,/əˈbjuːs/,WRONG USE,B2,C or U,the use of a substance in an unsuitable and harmful way or for the wrong purpose,"['Drug and alcohol abuse contributed to his early death.', 'This program tries to address problems that lead to substance abuse.']",22,abuse
51,abuse ,noun,/əˈbjuːs/,WRONG ACTION,C1,C or U,an action or activity that is morally wrong or not allowed,"[""The politician's behaviour was an abuse of power.""]",22,abuse
52,abuse ,noun,/əˈbjuːs/,LANGUAGE,C2,U,rude and offensive words said to another person,['Rival fans shouted abuse at each other.'],22,abuse
53,abusive,adjective,/əˈbjuːsɪv/,,C2,,saying rude and offensive words to someone,['an abusive phone call'],23,abusive
54,academic ,adjective,/ˌæk.əˈdem.ɪk/,EDUCATION,B2,,"relating to schools, colleges and universities, or to subjects which involve thinking and studying and not technical or practical skills","['academic subjects/qualifications/books', 'academic standards']",24,academic
55,academic ,adjective,/ˌæk.əˈdem.ɪk/,CLEVER,C2,,clever and good at studying,"[""He's not very academic.""]",24,academic
56,accelerate ,verb,/əkˈsel.ə.reɪt/,HAPPEN,C1,I or T,"to start to happen more quickly, or to make something start to happen more quickly",['Inflation is likely to accelerate this year.'],25,accelerate
57,accelerate ,verb,/əkˈsel.ə.reɪt/,VEHICLE,C2,I,to move or cause yourself or a vehicle to move faster,['The car in front accelerated and left us behind.'],25,accelerate
58,accent ,noun,/ˈæk.sənt/,PRONUNCIATION,B1,C,"the way in which people in a particular area, country or social group pronounce words","['an American accent', 'He speaks with a broad/heavy/strong Yorkshire accent.']",26,accent
59,accent ,noun,/ˈæk.sənt/,MARK,B2,C,a mark written or printed over a letter to show you how to pronounce it,"[""There's an acute accent on the 'e' of 'café'.""]",26,accent
60,accept ,verb,/əkˈsept/,AGREE TO TAKE,B1,I or T,to agree to take something that is offered to you,"['to accept an apology/invitation/offer', ""I've been invited to their wedding, but I haven't decided whether to accept."", ""She won't accept advice from anyone.""]",27,accept
61,accept ,verb,/əkˈsept/,ADMIT,B2,T,"to admit that something is true, often something unpleasant","[""He refuses to accept that he's made a mistake."", ""I can't accept that there's nothing we can do.""]",27,accept
62,accept ,verb,/əkˈsept/,ALLOW TO JOIN,B2,T,to allow someone to join an organization or become part of a group,"[""She's been accepted by two universities."", 'He was accepted as a full member of the society.', 'His fellow workers refused to accept him.']",27,accept
63,accept responsibility/blame,verb,/əkˈsept/,,B2,I or T,to admit that you caused something bad that happened,['I accept full responsibility for the failure of the plan.'],27,accept
64,acceptable ,adjective,/əkˈsep.tə.bl ̩/,GOOD ENOUGH,B1,,good enough,"['work of an acceptable standard', 'Clearly we need to come to an arrangement that is acceptable to both parties.', 'This kind of attitude is simply not acceptable.', 'So what is an acceptable level of radiation?']",28,acceptable
65,acceptable ,adjective,/əkˈsep.tə.bl ̩/,ALLOWED,C1,,allowed or approved of,['Smoking is less and less socially acceptable.'],28,acceptable
66,acceptance,noun,/əkˈsep.tənts/,,C1,C or U,when you accept something,"['His acceptance of the award was controversial.', 'There is a growing public acceptance of alternative medicine.']",29,acceptance
67,accepted,adjective,/əkˈsep.tɪd/,,C1,,agreed or approved by most people,['an accepted spelling'],30,accepted
68,access ,noun,/ˈæk.ses/,RIGHT/OPPORTUNITY,B1,U,the right or opportunity to use or look at something,"['Internet access', 'The system has been designed to give the user quick and easy access to the required information.']",31,access
69,access ,noun,/ˈæk.ses/,METHOD,B1,U,the way in which you can enter a place or get to a place,"['disabled access', 'The only access to the village is by boat.']",31,access
70,access,verb,/ˈæk.ses/,,B2,T,"to find or see information, especially using a computer",['You can access the files over the Internet.'],31,access
71,accessible ,adjective,/əkˈses.ə.bl ̩/,REACH,B2,,able to be reached or easily got,"['The resort is easily accessible by road, rail and air.']",32,accessible
72,accessible ,adjective,/əkˈses.ə.bl ̩/,UNDERSTAND,C2,,easy to understand,['They are attempting to make opera accessible to a wider audience.'],32,accessible
73,accessory,noun,/əkˈses.ər.i/,,C1,C,something extra which is not necessary but is attractive or useful,"['bathroom accessories', 'computer accessories']",33,accessory
74,accident,noun,/ˈæk.sɪ.dənt/,,A2,C,"something bad which happens that is not expected or intended, and which causes injury or damage","['Josh had an accident and spilled water all over his work.', 'She was injured in a car/road accident.']",34,accident
75,by accident,noun,/ˈæk.sɪ.dənt/,,B1,C,without being intended,['I deleted the file by accident.'],34,accident
76,accidental,adjective,/ˌæk.sɪˈden.təl/,,B2,,happening by chance,"['accidental damage', 'The archeological site was located after the accidental discovery of bones in a field.']",35,accidental
77,accidentally,adverb,/ˌæk.sɪˈden.təl.i/,,B2,,by chance or by mistake,['She accidentally knocked over a glass of water.'],36,accidentally
78,acclaimed,adjective,/əˈkleɪmd/,,C1,,praised by a lot of people,['the acclaimed singer and songwriter'],37,acclaimed
79,accommodation,noun,/əˌkɒm.əˈdeɪ.ʃən/,,B1,U,a place where you live or stay,"['rented accommodation', 'The price includes flights, all meals and accommodation.', ""There's a shortage of cheap accommodation.""]",38,accommodation
80,accompany ,verb,/əˈkʌm.pə.ni/,GO WITH,B1,often passive,to go somewhere with someone,"['We accompanied her back to her hotel.', 'Children under 10 must be accompanied by an adult.']",39,accompany
81,accompany ,verb,/əˈkʌm.pə.ni/,HAPPEN TOGETHER,B1,often passive,to happen or exist at the same time as something else,"['The course books are accompanied by four CDs.', 'The salmon was accompanied by a fresh green salad.']",39,accompany
82,accompany ,verb,/əˈkʌm.pə.ni/,MUSIC,C2,often passive,to play music to support someone else who is playing or singing,['He accompanied me on the piano.'],39,accompany
83,accomplish,verb,/əˈkʌm.plɪʃ/,,C1,T,to succeed in doing something good,"[""I feel as if I've accomplished nothing all day.""]",40,accomplish
84,of your own accord,noun,/əˈkɔːd/,,C2,,"If you do something of your own accord, you choose to do it and no one else forces you",['She left of her own accord.'],41,accord
85,in accordance with sth,noun,/əˈkɔː.dənts/,,C1,,"in the way described by a rule, law, or wish",['Both companies have insisted that they were acting in accordance with the law.'],42,accordance
86,according to ,preposition,/əˈkɔː.dɪŋˌtuː/,OPINION,B1,,as said by someone or shown by something,"[""According to Sarah, they're not getting on very well at the moment."", 'According to our records, you owe us £45.']",43,according to
87,according to ,preposition,/əˈkɔː.dɪŋˌtuː/,METHOD,B2,,in a way that agrees with,['Students are all put in different groups according to their ability.'],43,according to
88,account ,noun,/əˈkaʊnt/,BANK,B1,C,an arrangement with a bank to keep your money there and to allow you to take it out when you need to,"[""I've opened an account with another bank."", 'I paid the money into my account this morning.']",44,account
89,account ,noun,/əˈkaʊnt/,REPORT,B2,C,a written or spoken description of something that has happened,"['She gave a thrilling account  of her life in the jungle.', ""The documents provide a detailed account of the town's early history.""]",44,account
90,take account of sth,noun,/əˈkaʊnt/,,B2,C,to consider something when judging a situation,"[""A good architect takes account of the building's surroundings.""]",44,account
91,take into account sth,noun,/əˈkaʊnt/,,B2,C,to consider something when judging a situation,"[""I think you have to take into account the fact that he's a good deal younger than the rest of us.""]",44,account
92,on account of sth,noun,/əˈkaʊnt/,,B2,C,because of something,"[""He doesn't eat any dairy products on account of the diet he is following.""]",44,account
93,on no account; not on any account,noun,/əˈkaʊnt/,,C2,C,not for any reason or in any situation,['On no account must these records be changed.'],44,account
94,by all accounts,noun,/əˈkaʊnt/,,C1,C,as said by a lot of people,"['The party was, by all accounts, a great success.']",44,account
95,account for sth,verb,/əˈkaʊnt/,,C2,,"to be the reason for something, or to explain the reason for something","['Can you account for your absence last Friday?', ""He'd had an argument with Caroline, which accounts for his bad mood this morning."", 'She was asked to account for the missing money.']",44,account
96,accountable,adjective,/əˈkaʊn.tə.bl ̩/,,C2,never before noun,responsible for what you do and having to be able to explain your actions,"['Hospitals must be held accountable for their mistakes.', 'Politicians should be accountable to the public that elects them.']",45,accountable
97,accountant,noun,/əˈkaʊn.tənt/,,B1,C,someone whose job is to keep or examine the financial records of a person or organization,['a firm of accountants'],46,accountant
98,accumulate,verb,/əˈkjuː.mjə.leɪt/,,C1,I or T,"to increase in amount over a period of time, or to make something increase over a period of time",['The chemicals accumulate in your body.'],47,accumulate
99,accumulation,noun,/əˌkjuː.mjəˈleɪ.ʃən/,,C2,C or U,an amount of something that has been collected,"['Despite this accumulation of evidence, the government did nothing.']",48,accumulation
100,accuracy,noun,/ˈæk.jʊ.rə.si/,,B2,U,how correct or exact something is,['We can predict changes with a surprising degree of accuracy.'],49,accuracy
101,accurate,adjective,/ˈæk.jʊ.rət/,,B1,,"correct, exact and without any mistakes","['accurate information/measurements', 'She was able to give the police a fairly accurate description of the man.', 'Her novel is an accurate reflection of life in post-war Spain.', 'We hope to become more accurate in predicting earthquakes.']",50,accurate
102,accurately,adverb,/ˈæk.jʊ.rət.li/,,B1,,in an accurate way,"['The plans should be drawn as accurately as possible, showing all the measurements.']",51,accurately
103,accusation,noun,/ˌæk.jʊˈzeɪ.ʃən/,,C1,C,when you say that someone has done something bad,['He made a number of accusations against his former colleagues.'],52,accusation
104,accuse,verb,/əˈkjuːz/,,B2,T,to say that someone has done something bad,"[""He's been accused of robbery/murder."", 'Are you accusing me of lying?']",53,accuse
105,accustomed to sth/doing sth,adjective,/əˈkʌs.təmd/,,C1,,"If you are accustomed to something, you have experienced it often enough for it to seem normal to you","[""I've worked nights for years now so I've grown accustomed to it."", ""She isn't accustomed to dealing with so much media attention.""]",54,accustomed
106,ache,noun,/eɪk/,,B1,C,a feeling of pain over an area of your body which continues for a long time,"['As you get older, you have all sorts of aches and pains.', ""I've got an ache in my lower back.""]",55,ache
107,ache,verb,/eɪk/,,B2,I,to have a continuous pain that is unpleasant but not strong,"['My head/tooth/back aches.', ""I ache/I'm aching all over.""]",55,ache
108,achieve,verb,/əˈtʃiːv/,,B1,T,"to succeed in doing something good, usually by working hard","['She finally achieved her ambition to visit South America.', ""The government's training policy, he claimed, was achieving its objectives.""]",56,achieve
109,achievement,noun,/əˈtʃiːv.mənt/,,B1,C or U,something very good and difficult that you have succeeded in doing,"['An Olympic silver medal is a remarkable achievement for such a young athlete.', 'It gives you a sense of achievement if you actually make it to the end of a very long book.']",57,achievement
110,acid,noun,/ˈæs.ɪd/,,B2,C or U,a liquid substance which can react chemically with and sometimes dissolve other materials,"['hydrochloric/fatty acid', 'Vinegar is an acid.']",58,acid
111,acknowledge ,verb,/əkˈnɒl.ɪdʒ/,ACCEPT,C1,T,to accept that something is true or exists,['He acknowledged that there was a problem.'],59,acknowledge
112,acknowledge ,verb,/əkˈnɒl.ɪdʒ/,SAY RECEIVED,C1,T,"to tell someone, usually in writing, that you have received something they sent you",['He sent a letter acknowledging receipt of her application.'],59,acknowledge
113,acquaintance,noun,/əˈkweɪn.tənts/,,C1,C,someone who you know but do not know well,"[""He's just a business acquaintance.""]",60,acquaintance
114,acquire ,verb,/əˈkwaɪər/,GET,B2,T,to get something,"['He acquired the firm in 1978.', 'I seem to have acquired two copies of this book.']",61,acquire
115,acquire ,verb,/əˈkwaɪər/,LEARN,B2,T,to learn something,['to acquire knowledge/skills'],61,acquire
116,acre,noun,/ˈeɪ.kər/,,C2,C,"a unit for measuring area, equal to 4047 square metres","[""He's got 400 acres of land in Wales.""]",62,acre
117,across,adverb,/əˈkrɒs/,,A2,,from one side of something to the other,"['She walked across the field/road.', ""They're building a new bridge across the river."", 'When I reached the river, I simply swam across.']",63,across
118,across the board,adverb,/əˈkrɒs/,,C2,,happening or having an effect on people at every level and in every area,"['The improvement has been across the board, with all divisions reporting increased profits.']",63,across
119,across,preposition,/əˈkrɒs/,,A2,,on the opposite side of,['The library is just across the road.'],63,across
120,act ,verb,/ækt/,PERFORM,B1,I or T,"to perform in a film, play, etc","['Have you ever acted in a play before?', 'Andrew Pike was chosen to act the part of the lawyer in the film.']",64,act
121,act ,verb,/ækt/,BEHAVE,B1,I,to behave in a particular way,"[""He acted as if he'd never met me before."", ""Don't be so silly - you're acting like a child!""]",64,act
122,act ,verb,/ækt/,DO SOMETHING,B2,I,"to do something, especially in order to solve a problem","['She acted without thinking.', 'We have to act now to stop the spread of this disease.']",64,act
123,act as sth,verb,/ækt/,,B2,I or T,"to do a particular job, especially one that you do not normally do",['He was asked to act as an advisor on the project.'],64,act
124,act ,noun,/ækt/,THEATRE,B1,C,one of the parts a play is divided into,"[""Her character doesn't appear until Act 2.""]",64,act
125,act ,noun,/ækt/,THING DONE,B2,C,something that someone does,"['an act of aggression/kindness/terrorism', 'a kind/thoughtless/selfish act', 'The simple act of telling someone about a problem can help.']",64,act
126,act ,noun,/ækt/,FALSE BEHAVIOUR,C2,no plural,behaviour which hides your real feelings or intentions,['Was she really upset or was that just an act?'],64,act
127,get your act together,noun,/ækt/,,C2,C,to organize your activities so that you can make progress,"[""She's so disorganized - I wish she'd get her act together.""]",64,act
128,action ,noun,/ˈæk.ʃən/,ACTIVITY,B1,U,"things which are happening, especially exciting or important things","['I like films with a lot of action.', 'In her last novel, the action moves between Greece and southern Spain.']",65,action
129,action ,noun,/ˈæk.ʃən/,DO,B2,C or U,something that you do,"['We must take action before the problem gets worse.', 'She has to accept the consequences of her actions.', 'What do you think is the best course of action?']",65,action
130,legal action,noun,/ˈæk.ʃən/,,C1,U,a legal process in a court,['They are planning to take legal action against the company.'],65,action
131,out of action,noun,/ˈæk.ʃən/,,C1,U,damaged or hurt and not able to operate or play sports,"[""I'm afraid my car's out of action."", ""They've got three players out of action.""]",65,action
132,course of action,noun,/ˈæk.ʃən/,,C1,U,something that you can do in a particular situation,['I think the best course of action would be to write to him.'],65,action
133,action ,noun,/ˈæk.ʃən/,FIGHTING,C2,U,fighting in a war,['He was killed in action.'],65,action
134,action ,noun,/ˈæk.ʃən/,PROCESS,C2,no plural,a movement or natural process,['The rocks are smoothed by the action of water.'],65,action
135,active ,adjective,/ˈæk.tɪv/,BUSY,B1,,"doing a lot of things, or moving around a lot","['physically/mentally active', ""You've got to try to keep active as you grow older.""]",66,active
136,active ,adjective,/ˈæk.tɪv/,GRAMMAR,B1,,An active verb or sentence is one in which the subject is the person or thing doing the action,"[""'Catrin told me' is an active sentence, and 'I was told by Catrin' is passive.""]",66,active
137,active ,adjective,/ˈæk.tɪv/,INVOLVED,B2,,very involved in an organization or planned activity,"['He played an active role in the campaign.', 'Both of his parents were politically active.', 'Enemy forces remain active in the mountainous areas around the city.']",66,active
138,active ,adjective,/ˈæk.tɪv/,VOLCANO,C1,,"An active volcano could throw out rocks, fire, etc. at any time","[""Mount Etna in Sicily is one of the world's most active volcanoes.""]",66,active
139,actively,adverb,/ˈæk.tɪv.li/,,B2,,in a way that involves positive action,"[""He's very actively involved in the local Labour Party."", ""I've been actively looking for a job for six months.""]",67,actively
140,activity ,noun,/ækˈtɪv.ə.ti/,EVENT,A2,C usually plural,"something that is done for enjoyment, especially an organized event","['The centre offers a range of activities, such as cycling, swimming and tennis.']",68,activity
141,activity ,noun,/ækˈtɪv.ə.ti/,WORK,B2,C or U,the work of a group or organization to achieve an aim,"['He was found guilty of terrorist activity.', 'criminal activities']",68,activity
142,activity ,noun,/ækˈtɪv.ə.ti/,MOVEMENT,B2,U,when a lot of things are happening or people are moving around,"['Ministers are concerned by the low level of economic activity.', 'There was a lot of activity the other side of the room.']",68,activity
143,actor,noun,/ˈæk.tər/,,A2,C,"someone whose job is to perform in plays, films, etc","['""Who\'s your favourite actor?"" ""Robert de Niro.""']",69,actor
144,actual,adjective,/ˈæk.tʃu.əl/,,B2,always before noun,"real, not guessed or imagined","['We had estimated about 300 visitors, but the actual number was much higher.', ""The exams are in July, but the actual results don't appear until September.""]",70,actual
145,in actual fact,adjective,/ˈæk.tʃu.əl/,,B2,always before noun,"used to emphasize what is really true, or to give more information","[""I thought she was Portuguese, but in actual fact she's Brazilian.""]",70,actual
146,actually ,adverb,/ˈæk.tʃu.ə.li/,TRUTH,A2,,used when you are emphasizing what is really true or what really happened,"[""I don't actually like seafood."", 'So what actually happened?']",71,actually
147,actually ,adverb,/ˈæk.tʃu.ə.li/,SURPRISE,B1,,used when you are emphasizing something surprising,"[""A friend of mine from university was actually at the same concert - I hadn't seen her for years!"", ""Don't tell me he actually paid for you? You are honoured!""]",71,actually
148,actually ,adverb,/ˈæk.tʃu.ə.li/,OPPOSITE,B2,,"used when you are correcting someone, disagreeing with someone, or saying no to a request","['Actually, Gavin, it was Tuesday of last week, not Wednesday.', '""You didn\'t tell me about needing the car."" ""Actually, I did.""', '""Do you mind if I smoke?"" ""Actually, I\'d rather you didn\'t.""']",71,actually
149,ad,noun,/æd/,,B1,C,an advertisement,['I saw an ad for a part-time job that you might like.'],72,ad
150,adapt ,verb,/əˈdæpt/,CHANGE BEHAVIOUR,B2,I,to change your behaviour so that it is suitable for a new situation,['It takes time to adapt to a new working environment.'],73,adapt
151,adapt ,verb,/əˈdæpt/,CHANGE SOMETHING,B2,T,to change something so that it is suitable for a different use or situation,"['Many software companies have adapted popular programs to the new operating system.', ""Davies is busy adapting Brinkworth's latest novel for television.""]",73,adapt
152,adaptation,noun,/ˌæd.æpˈteɪ.ʃən/,,C1,C or U,the process or act of changing to suit a new situation,['Evolution occurs as a result of adaptation to new environments.'],74,adaptation
153,add ,verb,/æd/,PUT WITH,A2,T,to put something with something else,"['Beat the butter and sugar together and slowly add the eggs.', ""She's added a Picasso to her collection.""]",75,add
154,add ,verb,/æd/,CALCULATE,A2,T,to put two or more numbers or amounts together to get a total,"['If you add three and four you get seven.', 'The restaurant will add 10% to your bill for service.']",75,add
155,add ,verb,/æd/,SAY MORE,B1,T,to say another thing,"['She was sad, she said, but added that she felt she had made the right decision.']",75,add
156,add insult to injury,verb,/æd/,,C2,T,to make someone's bad situation worse by doing something else to upset them,"['To add insult to injury, we had to pay for the damage!']",75,add
157,add to sth,verb,/æd/,,B2,T,to make a feeling or quality more extreme,"[""Her colleagues' laughter only added to her embarrassment.""]",75,add
158,add up (sth) or add (sth) up,verb,/æd/,,B1,T,to calculate the total of two or more numbers,"['If you add those four figures up, it comes to over £500.', ""I'm not very good at adding up!""]",75,add
159,addict,noun,/ˈæd.ɪkt/,,B2,C,"a person who cannot stop doing or using something, especially something harmful","['a drug/heroin addict', 'a gambling addict', ""I'm a chocolate/shopping addict.""]",76,addict
160,addicted ,adjective,/əˈdɪk.tɪd/,DRUGS,B2,,not able to stop taking a drug,['He later became addicted to heroin.'],77,addicted
161,addicted ,adjective,/əˈdɪk.tɪd/,LIKING,B2,,liking something very much,"[""He's addicted to chocolate/football.""]",77,addicted
162,addiction,noun,/əˈdɪk.ʃən/,,B2,C or U,when you cannot stop doing or taking something because you are addicted to it,"['drug addiction', 'an addiction to alcohol', 'His addiction to computer games means he is spending far too much time indoors.']",78,addiction
163,addictive,adjective,/əˈdɪk.tɪv/,,C1,,"If something is addictive, it makes you want more of it so that you become addicted","['Tobacco is highly addictive.', ""The problem with computer games is that they're addictive.""]",79,addictive
164,in addition (to),noun,/əˈdɪʃ.ən/,,B1,C,as well (as),"['In addition to his flat in London, he has a villa in Italy and a castle in Scotland.']",80,addition
165,addition ,noun,/əˈdɪʃ.ən/,NEW THING,B2,C,a new or extra thing which is added to something,['Defender Matt Smith is the latest addition to the team.'],80,addition
166,addition ,noun,/əˈdɪʃ.ən/,NUMBERS/AMOUNTS,B2,U,the process of adding numbers or amounts together in order to get a total,['Twice a week the children are tested in basic mathematical skills such as addition and subtraction.'],80,addition
167,additional,adjective,/əˈdɪʃ.ən.əl/,,B2,,extra,"['additional costs/problems', 'There will be an extra charge for any additional passengers.']",81,additional
168,additionally,adverb,/əˈdɪʃ.ən.əl.i/,,B2,,in addition,"['Additionally, we request a deposit of $200 in advance.']",82,additionally
